Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1lxoHeqakdySsDRvSZJHIU,"Como Tu (feat. Ivandro)","Finda","Bárbara Bandeira;Ivandro",2023-10-06,207873,55,false,,2026-04-08T19:08:24Z,"portuguese hip hop,kizomba,zouk","Parlophone Portugal",0.562,0.671,1,-8.672,0,0.437,0.665,0.00000586,0.4,0.43,187.57,4
spotify:track:6XXQA6e8qXPJ1sZtRxvbws,"El Fin del Mundo","La la Love You Bonus","La La Love You;Axolotes Mexicanos",2020-12-11,188093,78,false,,2026-04-08T17:18:47Z,"","Subterfuge Records distributed by Altafonte",0.602,0.865,4,-4.594,1,0.0474,0.000849,0,0.094,0.671,127.054,4
spotify:track:0RrwwLDXmvCGXXzuDgwvOZ,"Más Cara","Más Cara","Bad Gyal",2026-03-05,155867,75,false,,2026-04-08T17:18:05Z,"neoperreo","Interscope Records / Universal Music Latino",0.769,0.732,1,-3.901,0,0.0343,0.113,0.00012,0.0901,0.563,99.984,4
spotify:track:5tF9QyzahoFeJQzl4OFC4Y,"YO DE MAYOR QUIERO SER YO","YO DE MAYOR QUIERO SER YO","RATA",2026-03-13,211669,48,false,,2026-04-01T22:14:24Z,"","Sony Music Entertainment",0.338,0.976,1,-5.596,0,0.0889,0.00411,0.0192,0.324,0.201,161.951,4
spotify:track:0nMNmyhAnUSNNJ8YjzCnWA,"Tutu Turú","Tutu Turú","Siderland",2026-01-13,182368,53,false,,2026-04-01T22:10:04Z,"","U98 Music",0.837,0.703,8,-5.381,0,0.0753,0.0713,0.00000307,0.0911,0.906,132.971,4
spotify:track:7CI5IAi2z70tyJIVXxsHfw,"Berghain - Remix","Berghain (Remix)","Conrad Taylor;ROSALÍA;Björk;Yves Tumor",2026-03-06,154954,73,true,,2026-04-01T22:04:25Z,"hard techno,latin,art pop,trip hop","Columbia",0.479,0.864,2,-3.001,1,0.201,0.0525,0.00404,0.34,0.561,156.327,4
spotify:track:4gFVP1A01QwUsYzev7Atd1,"MIAU","MIAU","CACHÉ;CCF",2026-03-06,123000,62,true,,2026-04-01T21:49:58Z,"","Prisma Music",0.731,0.875,6,-4.948,0,0.0736,0.0171,0.000757,0.144,0.508,179.974,4
spotify:track:53iuhJlwXhSER5J2IYYv1W,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,96,false,,2026-03-14T22:22:13Z,"","Taylor Swift",0.726,0.598,5,-5.179,1,0.0291,0.265,0,0.102,0.519,123.921,4
spotify:track:3GfOAdcoc3X5GPiiXmpBjK,"Song 2","Blur: The Best Of","Blur",2000-10-23,121880,71,false,,2026-03-13T13:13:01Z,"britpop,madchester,alternative rock","Parlophone UK",0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,4
spotify:track:7vzLRsfNytlCFJzZhM1AXK,"C'est toi","C'est toi","satine",2024-04-19,118834,62,false,,2026-02-01T01:20:46Z,"french pop","Elektra France",0.728,0.662,10,-6.978,0,0.194,0.191,0.0000607,0.0478,0.605,102.97,4
spotify:track:7iKPYOXWkKfBo4EQFWiVbg,"LUCES AZULES","DONDE QUIERO ESTAR","Quevedo",2023-01-20,160975,65,false,,2026-01-20T20:39:50Z,"","Rimas Entertainment LLC.",0.659,0.704,1,-5.85,1,0.0409,0.253,0.00000218,0.133,0.15,122.951,4
spotify:track:15zJeVUmKFnbrxm9dxcxYD,"Sorry I'm Here For Someone Else","American Heart","Benson Boone",2025-06-20,156582,82,false,,2026-01-14T10:29:11Z,"","Night Street Records, Inc./Warner Records Inc.",0.533,0.758,2,-4.613,1,0.034,0.0437,0,0.16,0.515,149.719,4
spotify:track:3Z4wx9a3OxKZHQQEENoqOZ,"PACMAN","PACMAN","céro;D3llano",2024-06-20,126551,52,false,,2026-01-14T10:13:29Z,"","céro",0.869,0.666,11,-7.241,0,0.109,0.1,0.000143,0.111,0.629,110.033,4
spotify:track:5dt0PVoQ5xq5mvrJ1Bp3ou,"do i ever cross your mind","do i ever cross your mind","sombr",2024-08-30,168856,79,false,,2026-01-10T12:14:15Z,"","Warner Records",0.392,0.558,0,-11.57,1,0.0464,0.562,0.934,0.115,0.248,82.035,4
spotify:track:4JHg4nNYUJQ5HULcCmI18R,"What You Know","Tourist History","Two Door Cinema Club",2010-03-01,189693,77,false,,2026-01-08T16:48:09Z,"indie,indie rock","Kitsune",0.549,0.758,6,-3.991,0,0.0406,0.000673,0.00000679,0.0926,0.822,139.052,4
spotify:track:21IYMdzTrzSe191Cy5eMap,"Sailor Song","At The Beach, In Every Life","Gigi Perez",2025-04-25,211978,89,false,,2026-01-07T15:50:31Z,"","Outtahere, LLC / Island Records",0.499,0.392,11,-10.441,1,0.0262,0.627,0.000071,0.192,0.272,95.076,4
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,91,false,,2026-01-06T10:38:45Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
